,full_year,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,AGEGRP
18791,2013,Sumner County,168754,82484,86270,0
18810,2014,Sumner County,172269,84287,87982,0
18829,2015,Sumner County,175326,85838,89488,0
18848,2016,Sumner County,179332,87796,91536,0
18867,2017,Sumner County,183756,89857,93899,0
18886,2018,Sumner County,187490,91516,95974,0
18905,2019,Sumner County,191283,93379,97904,0
18924,NaN,Tipton County,61081,29946,31135,0
18943,NaN,Tipton County,61006,29908,31098,0
18962,2010,Tipton County,61065,29951,31114,0
18981,2011,Tipton County,61305,30099,31206,0
19000,2012,Tipton County,61524,30254,31270,0
19019,2013,Tipton County,61572,30399,31173,0
19038,2014,Tipton County,61596,30367,31229,0
19057,2015,Tipton County,61533,30314,31219,0
19076,2016,Tipton County,61223,30188,31035,0
19095,2017,Tipton County,61305,30179,31126,0
19114,2018,Tipton County,61576,30375,31201,0
19133,2019,Tipton County,61599,30348,31251,0
19152,NaN,Trousdale County,7870,3912,3958,0
19171,NaN,Trousdale County,7864,3910,3954,0
19190,2010,Trousdale County,7874,3915,3959,0
19209,2011,Trousdale County,7815,3872,3943,0
19228,2012,Trousdale County,7794,3858,3936,0
19247,2013,Trousdale County,7810,3852,3958,0
19266,2014,Trousdale County,7998,3933,4065,0
19285,2015,Trousdale County,8051,3973,4078,0
19304,2016,Trousdale County,9955,5647,4308,0
19323,2017,Trousdale County,10831,6430,4401,0
19342,2018,Trousdale County,11033,6557,4476,0
19361,2019,Trousdale County,11284,6642,4642,0
19380,NaN,Unicoi County,18313,8963,9350,0
19399,NaN,Unicoi County,18311,8962,9349,0
19418,2010,Unicoi County,18284,8949,9335,0
19437,2011,Unicoi County,18302,8958,9344,0
19456,2012,Unicoi County,18253,8979,9274,0
19475,2013,Unicoi County,18095,8912,9183,0
19494,2014,Unicoi County,17951,8841,9110,0
19513,2015,Unicoi County,17819,8751,9068,0
19532,2016,Unicoi County,17737,8731,9006,0
19551,2017,Unicoi County,17796,8778,9018,0
19570,2018,Unicoi County,17822,8795,9027,0
19589,2019,Unicoi County,17883,8849,9034,0
19608,NaN,Union County,19109,9524,9585,0
19627,NaN,Union County,19107,9521,9586,0
19646,2010,Union County,19116,9519,9597,0
19665,2011,Union County,19191,9562,9629,0
19684,2012,Union County,19105,9506,9599,0
19703,2013,Union County,19063,9460,9603,0
19722,2014,Union County,18991,9398,9593,0
19741,2015,Union County,19159,9498,9661,0
19760,2016,Union County,19219,9506,9713,0
19779,2017,Union County,19399,9584,9815,0
19798,2018,Union County,19689,9703,9986,0
19817,2019,Union County,19972,9895,10077,0
19836,NaN,Van Buren County,5548,2769,2779,0
19855,NaN,Van Buren County,5558,2773,2785,0
19874,2010,Van Buren County,5569,2777,2792,0
19893,2011,Van Buren County,5555,2768,2787,0
19912,2012,Van Buren County,5653,2807,2846,0
19931,2013,Van Buren County,5574,2759,2815,0
19950,2014,Van Buren County,5696,2844,2852,0
19969,2015,Van Buren County,5695,2887,2808,0
19988,2016,Van Buren County,5721,2894,2827,0
20007,2017,Van Buren County,5747,2927,2820,0
20026,2018,Van Buren County,5763,2900,2863,0
20045,2019,Van Buren County,5872,2961,2911,0
20064,NaN,Warren County,39839,19653,20186,0
20083,NaN,Warren County,39824,19645,20179,0
20102,2010,Warren County,39858,19654,20204,0
20121,2011,Warren County,39907,19706,20201,0
20140,2012,Warren County,39744,19544,20200,0
20159,2013,Warren County,39875,19611,20264,0
20178,2014,Warren County,39983,19718,20265,0
20197,2015,Warren County,40262,19856,20406,0
20216,2016,Warren County,40428,19981,20447,0
20235,2017,Warren County,40717,20149,20568,0
20254,2018,Warren County,40826,20213,20613,0
20273,2019,Warren County,41277,20508,20769,0
20292,NaN,Washington County,122979,60089,62890,0
20311,NaN,Washington County,123063,60131,62932,0
20330,2010,Washington County,123384,60249,63135,0
20349,2011,Washington County,123887,60506,63381,0
20368,2012,Washington County,124873,60992,63881,0
20387,2013,Washington County,125397,61373,64024,0
20406,2014,Washington County,125745,61434,64311,0
20425,2015,Washington County,126137,61599,64538,0
20444,2016,Washington County,127247,62182,65065,0
20463,2017,Washington County,127603,62299,65304,0
20482,2018,Washington County,128661,62799,65862,0
20501,2019,Washington County,129375,63205,66170,0
20520,NaN,Wayne County,17021,9402,7619,0
20539,NaN,Wayne County,17025,9403,7622,0
20558,2010,Wayne County,16985,9380,7605,0
20577,2011,Wayne County,17000,9411,7589,0
20596,2012,Wayne County,16973,9405,7568,0
20615,2013,Wayne County,16920,9358,7562,0
20634,2014,Wayne County,16860,9311,7549,0
20653,2015,Wayne County,16767,9312,7455,0
20672,2016,Wayne County,16747,9266,7481,0
20691,2017,Wayne County,16641,9253,7388,0
20710,2018,Wayne County,16635,9227,7408,0
20729,2019,Wayne County,16673,9233,7440,0
20748,NaN,Weakley County,35021,17159,17862,0
20767,NaN,Weakley County,35015,17157,17858,0
20786,2010,Weakley County,35044,17172,17872,0
20805,2011,Weakley County,34857,17103,17754,0
20824,2012,Weakley County,34554,16931,17623,0
20843,2013,Weakley County,34155,16692,17463,0
20862,2014,Weakley County,34001,16628,17373,0
20881,2015,Weakley County,33872,16521,17351,0
20900,2016,Weakley County,33610,16386,17224,0
20919,2017,Weakley County,33325,16312,17013,0
20938,2018,Weakley County,33413,16372,17041,0
20957,2019,Weakley County,33328,16277,17051,0
20976,NaN,White County,25841,12640,13201,0
20995,NaN,White County,25844,12642,13202,0
21014,2010,White County,25828,12633,13195,0
21033,2011,White County,26050,12755,13295,0
21052,2012,White County,26031,12750,13281,0
21071,2013,White County,26193,12806,13387,0
21090,2014,White County,26264,12834,13430,0
21109,2015,White County,26342,12880,13462,0
21128,2016,White County,26463,12973,13490,0
21147,2017,White County,26764,13093,13671,0
21166,2018,White County,27086,13260,13826,0
21185,2019,White County,27345,13386,13959,0
21204,NaN,Williamson County,183182,89336,93846,0
21223,NaN,Williamson County,183277,89384,93893,0
21242,2010,Williamson County,184143,89833,94310,0
21261,2011,Williamson County,188501,92012,96489,0
21280,2012,Williamson County,193211,94482,98729,0
21299,2013,Williamson County,199143,97312,101831,0
21318,2014,Williamson County,205334,100602,104732,0
21337,2015,Williamson County,211605,103590,108015,0
21356,2016,Williamson County,218903,107277,111626,0
21375,2017,Williamson County,226048,110721,115327,0
21394,2018,Williamson County,231978,113793,118185,0
21413,2019,Williamson County,238412,117098,121314,0
21432,NaN,Wilson County,113993,55834,58159,0
21451,NaN,Wilson County,114062,55864,58198,0
21470,2010,Wilson County,114677,56177,58500,0
21489,2011,Wilson County,116800,57251,59549,0
21508,2012,Wilson County,119143,58350,60793,0
21527,2013,Wilson County,121990,59763,62227,0
21546,2014,Wilson County,125197,61415,63782,0
21565,2015,Wilson County,128536,63097,65439,0
21584,2016,Wilson County,132494,65044,67450,0
21603,2017,Wilson County,136691,67144,69547,0
21622,2018,Wilson County,140954,69363,71591,0
21641,2019,Wilson County,144657,71178,73479,0
